id,kanji,yomi
139,こう法にも筆の誤り。,こう法にも筆のアヤマり。
140,外の空気を吸う。,外の空気をスう。
141,裁判で争う。,サイバンで争う。
142,著名な芸術家。,チョメイな芸術家。
143,児童会の活動方針を決める。,児童会の活動ホウシンを決める。
144,平和への署名運動をする。,平和へのショメイ運動をする。
145,会社に勤める。,会社にツトめる。
146,我に返る。,ワレに返る。
147,罪を裁く。,罪をサバく。
148,俳句をよむ。,ハイクをよむ。
149,銀行に就職する。,銀行にシュウショクする。
150,読む価値のある本。,読むカチのある本。
151,逆転ホームランに興奮する。,逆転ホームランにコウフンする。
152,外敵から身を守る。,ガイテキから身を守る。
153,他国と同盟を組む。,他国とドウメイを組む。
154,一寸先はやみ。,イッスン先はやみ。
155,鋼鉄で造られたビル。,コウテツで造られたビル。
156,兄は医者の卵だ。,兄は医者のタマゴだ。
157,数々の障害を乗りこえる。,数々のショウガイを乗りこえる。
158,同窓会を開く。,ドウソウカイを開く。
159,空が夕日で赤く染まる。,空が夕日で赤くソまる。
160,大きな看板を見上げる。,大きなカンバンを見上げる。
161,人材を派けんする。,人材をハけんする。
162,激しい雨でびしょびしょだ。,ハゲしい雨でびしょびしょだ。
163,一枚の絵。,イチマイの絵。
164,眼鏡をかける。,メガネをかける。
165,絹のスカーフ。,キヌのスカーフ。
166,切り株につまずく。,切りカブにつまずく。
167,バスの座席を決める。,バスのザセキを決める。
168,野外にある劇場。,野外にあるゲキジョウ。
169,胃腸の検査をする。,イチョウの検査をする。
170,日本国憲法。,日本国ケンポウ。
171,皇后陛下に手をふる。,コウゴウヘイカに手をふる。
172,商店が臨時休業になる。,商店がリンジ休業になる。
173,今日は弟の誕生日だ。,今日は弟のタンジョウビだ。
174,肺活量の多い人。,ハイカツリョウの多い人。
175,地球は太陽系の星だ。,地球はタイヨウケイの星だ。
176,音楽の時間に合奏する。,音楽の時間にガッソウする。
177,オーケストラの指揮者。,オーケストラのシキシャ。
178,千葉市は県庁所在地だ。,千葉市はケンチョウ所在地だ。
179,情報が多くて混乱する。,情報が多くてコンランする。
180,誠実な態度で人と接する。,セイジツな態度で人と接する。
181,川に沿って歩く。,川にソって歩く。
182,内閣総理大臣。,ナイカク総理大臣。
183,自己しょうかいをする。,ジコしょうかいをする。
184,会議では私語をつつしむ。,会議ではシゴをつつしむ。
185,入会を認める。,入会をミトめる。
186,宇宙旅行へ出かける。,ウチュウリョコウへ出かける。
187,善は急げ。,ゼンは急げ。
188,翌日は晴れるでしょう。,ヨクジツは晴れるでしょう。
189,下手の横好き。,ヘタの横好き。
190,わき出る清水を飲む。,わき出るシミズを飲む。
191,困難に立ち向かう。,コンナンに立ち向かう。
192,遊園地で迷子になる。,遊園地でマイゴになる。
193,本を朗読する。,本をロウドクする。
194,野口英世を尊敬する。,野口英世をソンケイする。
195,今月で閉店する。,今月でヘイテンする。
196,古い切手を収集する。,古い切手をシュウシュウする。
197,六月は降水量が多い。,六月はコウスイ量が多い。
198,演技の上手さに舌をまく。,演技の上手さにシタをまく。
199,垂直に線を引く。,スイチョクに線を引く。
200,限りある資源を大切に。,限りあるシゲンを大切に。
