id,kanji,yomi
90,ヒマワリの支柱を立てる。,ヒマワリのシチュウを立てる。
91,学問を志す。,学問をココロザす。
92,志願の理由をたずねる。,シガンの理由をたずねる。
93,枝を切り落とす。,エダを切り落とす。
94,病院で医師の言葉を聞く。,病院でイシの言葉を聞く。
95,旅行の資金を集める。,旅行のシキンを集める。
96,ペットを飼育する。,ペットをシイクする。
97,例題を解く。,例題をトく。
98,先生が例を提示する。,先生が例をテイジする。
99,父と似ている。,父とニている。
100,仕事を任せる。,仕事をマカセル。
101,先生に質問する。,先生にシツモンする。
102,新築の校舎。,新築のコウシャ。
103,両親に感謝する。,両親にカンシャする。
104,友だちに謝る。,友だちにアヤマる。
105,算数の授業。,算数のジュギョウ。
106,学問を修める。,学問をオサめる。
107,修学旅行に行く。,シュウガクリョコウに行く。
108,自分の考えを述べる。,自分の考えをノべる。
109,主語と述語。,主語とジュツゴ。
110,運動会の準備をする。,運動会のジュンビをする。
111,物語の序章。,物語のジョショウ。
112,お客を招く。,お客をマネく。
113,友達を招待する。,友達をショウタイする。
114,弁護士を目指す。,ベンゴシを目指す。
115,卒業証書を受け取る。,卒業ショウショを受け取る。
116,一定の条件を満たす。,一定のジョウケンを満たす。
117,お金を貯める。,お金をタめる。
118,布を織る。,布をオる。
119,職業につく。,ショクギョウにつく。
120,制服を着る。,セイフクを着る。
121,性別によるちがい。,セイベツによるちがい。
122,方向を示す。,方向をシメす。
123,勢いよく飛び出す。,イキオいよく飛び出す。
124,精神をきたえる。,セイシンをきたえる。
125,自動車を造る。,自動車をツクる。
126,税金をおさめる。,ゼイキンをおさめる。
127,自分の責任を果たす。,自分のセキニンを果たす。
128,国語の成績。,国語のセイセキ。
129,店で接客をする。,店でセッキャクをする。
130,設備のととのった病院。,セツビのととのった病院。
131,名前を告げる。,名前をツげる。
132,絶対に勝つ。,ゼッタイに勝つ。
133,息を殺してじっとする。,息をコロしてじっとする。
134,祖先のことを調べる。,ソセンのことを調べる。
135,総合的な学習の時間。,ソウゴウテキな学習の時間。
136,銅像を建てる。,ドウゾウを建てる。
137,参加者が増える。,参加者がフえる。
138,正午の時報が鳴る。,正午のジホウが鳴る。
139,川の水深を測る。,川の水深をハカる。
140,チームに所属する。,チームにショゾクする。
141,子ども達を率いる。,子ども達をヒキいる。
142,バッターの打率が下がる。,バッターのダリツが下がる。
143,品質を損なう。,品質をソコなう。
144,正直者が損をする。,正直者がソンをする。
145,歴史の勉強が好きだ。,レキシの勉強が好きだ。
146,近くに気象台がある。,近くにキショウダイがある。
147,友だちに本を貸す。,友だちに本をカす。
148,話を聞く態度が良い。,話を聞くタイドが良い。
149,集団で動く。,シュウダンで動く。
150,さそいを断る。,さそいをコトワる。
151,建築中のビル。,ケンチクチュウのビル。
152,弓を張る。,弓をハる。
153,進化の過程。,進化のカテイ。
154,発芽に適した温度。,発芽にテキした温度。
155,副賞は図書カードだ。,フクショウは図書カードだ。
156,天下を統一する。,天下をトウイツする。
157,正しい方向に導く。,正しい方向にミチビく。
158,お金を貯金する。,お金をチョキンする。
159,独自の考え方。,ドクジの考え方。
160,木材が燃える。,木材がモえる。
161,才能が開花する。,サイノウが開花する。
162,紙を破る。,紙をヤブる。
163,自分で判断する。,自分でハンダンする。
164,版画を刷る。,ハンガを刷る。
165,せの高さを比べる。,せの高さをクラべる。
166,畑に肥料をまく。,畑にヒリョウをまく。
167,非常識な行動。,ヒジョウシキな行動。
168,バスが停車する。,バスがテイシャする。
169,母の料理は評判がよい。,母の料理はヒョウバンがよい。
170,貧しい国。,マズしい国。
171,布地を選ぶ。,ヌノジを選ぶ。
172,夫婦で買い物に行く。,フウフで買い物に行く。
173,有毒な薬品だ。,ユウドクな薬品だ。
174,平和のために武器をすてる。,平和のためにブキをすてる。
175,複数の意見がある。,フクスウの意見がある。
176,仏堂を見学する。,ブツドウを見学する。
177,仏の顔も三度まで。,ホトケの顔も三度まで。
178,マフラーを編む。,マフラーをアむ。
179,保健室で休む。,ホケンシツで休む。
180,祖父の墓参りをする。,祖父のハカマイりをする。
181,いつまでも変わらない友情。,いつまでも変わらないユウジョウ。
182,小麦が豊かに実る。,小麦がユタかに実る。
183,消防士になる。,ショウボウシになる。
184,暴風雨を防ぐ。,ボウフウウを防ぐ。
185,店に立ち寄る。,店に立ちヨる。
186,司会を務める。,司会をツトめる。
187,悪夢で目覚める。,アクムで目覚める。
188,自分の夢を語る。,自分のユメを語る。
189,道に迷う。,道にマヨう。
190,迷路からぬけ出す。,メイロからぬけ出す。
191,綿花を育てる。,メンカを育てる。
192,原料を輸入する。,原料をユニュウする。
193,食材が余る。,食材がアマる。
194,余分な油。,ヨブンな油。
195,テニスが得意だ。,テニスがトクイだ。
196,茶道を心得ている。,茶道をココロエている。
197,内容を決める。,ナイヨウを決める。
198,計算を省略する。,計算をショウリャクする。
199,家で留守番をする。,家でルスバンをする。
200,日本の領土。,日本のリョウド。
