id,kanji,yomi
165,直ちにかえる。,タダちにかえる。
166,まぶしい光。,まぶしいヒカリ。
167,九才のたんじょうび。,キュウサイのたんじょうび。
168,野原をかけまわる。,ノハラをかけまわる。
169,おいしい昼食。,おいしいチュウショク。
170,クッキーを半分にわる。,クッキーをハンブンにわる。
171,顔をあらう。,カオをあらう。
172,やまあり谷あり。,やまありタニあり。
173,後ろのせきにすわる。,ウシろのせきにすわる。
174,あそびに来る。,あそびにクる。
175,パンの売てん。,パンのバイてん。
176,えんぴつを買う。,えんぴつをカう。
177,店にならんだトマト。,ミセにならんだトマト。
178,雪がふる。,ユキがふる。
179,げん米をたべる。,げんマイをたべる。
180,みずを止める。,みずをトめる。
181,戸をしめる。,トをしめる。
182,絵日記をかく。,エニッキをかく。
183,午前中におえる。,ゴゼンチュウにおえる。
184,ふるい汽車がはしる。,ふるいキシャがはしる。
185,ながい船たび。,ながいフナたび。
186,ピアノを毎週ひく。,ピアノをマイシュウひく。
187,台にのる。,ダイにのる。
188,頭がいたい。,アタマがいたい。
189,サイの角。,サイのツノ。
190,お茶をのむ。,おチャをのむ。
191,まっすぐ走る。,まっすぐハシる。
192,お寺のおぼうさん。,おテラのおぼうさん。
193,小麦でパンをつくる。,コムギでパンをつくる。
194,つきの引力。,つきのインリョク。
195,人形であそぶ。,ニンギョウであそぶ。
196,今すぐでかける。,イマすぐでかける。
197,同じかたちのもの。,オナじかたちのもの。
198,交通あんぜん。,コウツウあんぜん。
199,ぼくのじゅん番がくる。,ぼくのじゅんバンがくる。
200,ちきゅうは丸い。,ちきゅうはマルい。
