id,kanji,yomi
99,したくが整う。,したくがトトノう。
100,予定を入れる。,ヨテイを入れる。
101,広い田畑。,広いタハタ。
102,銀行ではたらく。,ギンコウではたらく。
103,体を後ろに反らす。,体を後ろにソらす。
104,勝負がつかない。,ショウブがつかない。
105,考えが深まる。,考えがフカまる。
106,紙を重ねておる。,紙をカサねておる。
107,かれを指名する。,かれをシメイする。
108,薬を飲む。,クスリを飲む。
109,おいしいぶどう酒。,おいしいぶどうシュ。
110,本州の広さ。,ホンシュウの広さ。
111,実りの秋。,ミノりの秋。
112,助走をつける。,ジョソウをつける。
113,悲鳴を上げる。,ヒメイを上げる。
114,走るのが速い。,走るのがハヤい。
115,弟を心配する。,弟をシンパイする。
116,お礼の言葉。,おレイの言葉。
117,羊毛のセーター。,ヨウモウのセーター。
118,道路を横だんする。,道路をオウだんする。
119,会の進行をする。,会のシンコウをする。
120,時代をこえる。,ジダイをこえる。
121,路面がこおる。,ロメンがこおる。
122,千代紙を折る。,チヨ紙を折る。
123,なり田空港。,なり田クウコウ。
124,幸せになりたい。,シアワせになりたい。
125,火に油を注ぐ。,火に油をソソぐ。
126,ゆめは世界旅行。,ゆめはセカイリョコウ。
127,安心してねむる。,アンシンしてねむる。
128,しけんに受かる。,しけんにウかる。
129,手作りの家具。,手作りのカグ。
130,大切に花を育てる。,大切に花をソダてる。
131,木の皮をむく。,木のカワをむく。
132,古い手帳をめくる。,古いテチョウをめくる。
133,大きな湖。,大きなミズウミ。
134,太い柱を立てる。,太いハシラを立てる。
135,五倍の大きさにふくらむ。,ゴバイの大きさにふくらむ。
136,楽しい童話の本。,楽しいドウワの本。
137,先生に相談をする。,先生にソウダンをする。
138,テレビの電波がとどかない。,テレビのデンパがとどかない。
139,雨宿りをする。,アマヤドりをする。
140,局地てきに雨がふる。,キョクチてきに雨がふる。
141,勉学にはげむ毎日。,ベンガクにはげむ毎日。
142,他人のふりをする。,タニンのふりをする。
143,たぬきが人を化かす。,たぬきが人をバかす。
144,一秒もむだにしない。,イチビョウもむだにしない。
145,医者にみてもらう。,イシャにみてもらう。
146,主語に係る言葉。,主語にカカる言葉。
147,ふとんから起き上がる。,ふとんからオき上がる。
148,日本の神話を読む。,日本のシンワを読む。
149,先ぞを祭る。,先ぞをマツる。
150,鼻血が止まる。,ハナヂが止まる。
151,箱の中にかたづける。,ハコの中にかたづける。
152,ねっ湯で野さいをゆでる。,ねっトウで野さいをゆでる。
153,暗い夜道を歩く。,クラい夜道を歩く。
154,先取点が入った。,センシュテンが入った。
155,大きな川が流れる。,大きな川がナガれる。
156,毛筆の作品。,モウヒツの作品。
157,急行電車がとまる。,キュウコウ電車がとまる。
158,太い木の根をほる。,太い木のネをほる。
159,農家の仕事。,ノウカの仕事。
160,お宮まいりに行く。,おミヤまいりに行く。
161,飲食をひかえる。,インショクをひかえる。
162,商売がせいこうする。,ショウバイがせいこうする。
163,田んぼにいねを植える。,田んぼにいねをウえる。
164,期待でむねがふくらむ。,キタイでむねがふくらむ。
165,油絵をかく。,アブラエをかく。
166,金庫にしまう。,キンコにしまう。
167,黒板をきれいにする。,コクバンをきれいにする。
168,皿をならべる。,サラをならべる。
169,軽自動車。,ケイジドウシャ。
170,家族でゆっくりとすごす。,カゾクでゆっくりとすごす。
171,友人に委ねる。,友人にユダねる。
172,右に曲がると目てき地だ。,右にマがると目てき地だ。
173,けがをして病院へ行く。,けがをしてビョウインへ行く。
174,はん人を追いかける。,はん人をオいかける。
175,夏休みの自由研究。,夏休みの自由ケンキュウ。
176,広場の中央に集まる。,広場のチュウオウに集まる。
177,鉄ぼうにつかまる。,テツぼうにつかまる。
178,せつ分の豆まき。,せつ分のマメまき。
179,ボールを投げる。,ボールをナげる。
180,幸福にくらす。,コウフクにくらす。
181,去年の冬休み。,キョネンの冬休み。
182,えんぴつを拾う。,えんぴつをヒロう。
183,天気が悪い。,天気がワルい。
184,歩道橋をわたる。,ホドウキョウをわたる。
185,ゆっくり休息する。,ゆっくりキュウソクする。
186,自分たちの部屋。,自分たちのヘヤ。
187,せきにんを負う。,せきにんをオう。
188,その場を去る。,その場をサる。
189,申しこみが受理される。,申しこみがジュリされる。
190,長い旅路を行く。,長いタビジを行く。
191,る守番をする。,るス番をする。
192,写真をとる。,シャシンをとる。
193,野山を整地する。,野山をセイチする。
194,校内放送を聞く。,校内ホウソウを聞く。
195,水深二十メートルの海。,スイシン二十メートルの海。
196,起立してあいさつする。,キリツしてあいさつする。
197,豆ふにふくまれるえいよう。,トウふにふくまれるえいよう。
198,息を大きくすう。,イキを大きくすう。
199,水を全身にあびる。,水をゼンシンにあびる。
200,兄が車に乗りこむ。,兄が車にノりこむ。
